author_id,name,votes
1467,Jeffrey Eugenides,11
1476,Doris Kearns Goodwin,7
1478,Frank Shuffelton,1
1480,John Adams,1
1483,Joseph J. Ellis,9
1484,Cheryl Harness,20
1488,Joy Browne,2
1490,Marlene Targ Brill,1
1491,Cheryl Fall,2
1493,Ruth Westheimer,2
1498,David D. Burns,8
1502,Charles D. Smith,1
1506,Elisabeth Kübler-Ross,13
1511,Eric Rofes,2
1512,Therese A. Rando,1
1513,Rita M. Reynolds,1
1517,Mark Shepard,3
1526,John S. Dunne,2
1538,Stephen R. Covey,35
1539,Dan Millman,16
1543,Sally Jenkins,2
1544,Lance Armstrong,1
1549,Martin Dugard,5
1551,Bill Gutman,2
1559,Margaret Truman,40
1562,Truman G. Madsen,1
1563,Steven Johnson,10
1564,John H. Holland,1
1565,Katherine V. Forrest,18
1567,Temple Grandin,2
1568,David R. Palmer,1
1569,Harold J. Morowitz,2
1573,Arlene Istar Lev,2
1574,Iris Fry,1
1576,Vivian Russell,1
1577,Mary Ann Caws,7
1580,Humphrey Carpenter,11
1582,Douglas A. Anderson,3
1585,Bradley J. Birzer,2
1586,Paul H. Kocher,2
1592,Jenny Jochens,1
1593,Heather O'Donoghue,1
1594,Courtney Davis,3
1596,Sarah Anderson,1
1597,George Webbe Dasent,1
1602,Larry Langman,1
1603,Ingrid Monson,1
1604,Fred Hall,1
1605,Aglaia Kremezi,1
1606,John Ruskin,7
1612,Jeffery Deaver,70
1614,Paul Yee,3
1616,Brian Callison,1
1624,Herman Melville,37
1625,Shirley Bogart,3
1627,Gary Gianni,2
1630,Ray Bradbury,93
1631,Geraldine McCaughrean,29
1632,William Humphrey,2
1634,Edward F. Edinger,5
1641,Nathaniel Philbrick,14
1642,Will Eisner,40
1645,Christie Mellor,3
1648,Steve Martini,14
1649,Nannette Stone,1
1654,Terry Pratchett,187
1658,Fareed Zakaria,4
1659,Erin Van Rheenen,1
1667,Clyde B. Clason,1
1673,Thomas Jefferson,10
1681,Glenn Morris,1
1691,Hesiod,1
1692,Anthony Grafton,5
1699,Isaac Kramnick,1
1700,Glenn C. Altschuler,2
1705,Jeanne K. Hanson,2
1706,Stephen Adly Guirgis,4
1709,Grazia Deledda,2
1711,Thomas Merton,28
1716,Jim Al-Khalili,2
1717,John Swartzwelder,1
1718,Charles T. Tart,3
1719,Joseph McMoneagle,2
1721,Bill Adler,9
1724,Anthony Weller,1
1728,Orhan Pamuk,8
1729,Laura Wattenberg,1
1730,Umberto Eco,41
1732,Timothy B. Tyson,3
1733,Bruce Lansky,22
1734,Linda Rosenkrantz,2
1736,Pamela Redmond Satran,6
1737,Diane Stafford,5
1741,Scott Donaldson,2
1742,Jack Kerouac,34
1744,Richard Worth,3
1749,Louise Hawes,4
1756,Chris Anderson,5
1759,Joy Cowley,6
1769,Sun Bin,1
1771,Sun Tzu,2
1779,Jack Trout,2
1780,Al Ries,1
1785,Mark Bittman,10
1787,Andrew Schloss,2
1788,Christina Pirello,5
1791,Seth Godin,12
1792,Clayton M. Christensen,2
1795,Michael E. Raynor,1
1798,Sandy Jones,1
1813,Johan Huizinga,4
1817,Udo Erasmus,1
1825,Harper Lee,13
1829,Anita Price Davis,1
1831,Jonathan Swift,12
1837,Khoo Kheng-Hor,2
1838,Geoffrey Chaucer,14
1843,Helen Cooper,9
1845,Derek Pearsall,2
1847,Mark Kurlansky,20
1852,Monique Truong,2
1858,Kim Stanley Robinson,38
1860,Walter Benjamin,4
1862,Joel Smith,1
1863,Howard Rheingold,3
1865,Matthew Fox,7
1870,Norbert Wolf,2
1871,Ingo F. Walther,5
1873,David Guterson,11
1875,Jennifer Anne Haytock,1
1877,Kathy Stevens,1
1878,Michael Gurian,8
1879,Franklin W. Dixon,151
1880,Ian Davis,1
1881,Dave Pelzer,10
1886,Douglas Coupland,35
1895,Ernest Becker,4
1899,Howard Zinn,27
1902,Edward Eggleston,1
1903,David W. Blight,5
1908,David M. Katzman,1
1910,Fredrik Logevall,1
1913,Philip B. Meggs,2
1914,Alain Weill,1
1916,Mildred Friedman,2
1917,Lisa Lowe,1
1922,Mary Whyte,1
1924,Helen Levitt,1
1926,Harry F. Wolcott,2
1928,Stephen J. Dubner,3
1934,David Bodanis,7
1936,Luci Shaw,6
1938,Friedrich Nietzsche,31
1939,David Lenson,1
1949,Katherine Paterson,38
1952,Jeannette Sanderson,1
1953,David Paterson,2
1954,Natalie Babbitt,15
1956,Alice B. McGinty,2
1957,Douglas R. Groothuis,2
1962,Charles J. Sykes,4
1967,Tanya Huff,42
1969,Bobbi Katz,2
1973,Tracy Chevalier,24
1974,Rosalind Laker,12
1977,Tite Kubo,35
1979,Mei-mei Berssenbrugge,3
1980,Jane Alison,4
1982,Valerie Parv,6
1984,Colleen Carroll,5
1987,Tatsuhiko Takimoto,1
1996,David Grazian,1
2001,Chicago Tribune,1
2005,Wolfgang Schorlau,1
2007,Daniel Defoe,18
2010,J.J. Grandville,1
2013,Maximillian E. Novak,1
2014,Garrison Keillor,38
2017,Greg Matthews,3
2018,Lee Nelson,4
2021,Paul Lauter,2
2027,Ron Powers,3
2028,Charles Neider,3
2031,James Hilton,10
2032,Jacob Weisberg,3
2036,Robert Alden Rubin,2
2038,Madeleine B. Stern,1
2041,Frances Hodgson Burnett,35
2042,Nancy Friday,7
2043,Marsha Norman,1
2046,Alison Lurie,25
2049,Angelica Shirley Carpenter,1
2050,Ann Thwaite,3
2053,Dennis McDougal,4
2054,Randy Leffingwell,1
2055,Andrew Sanders,1
2056,Thomas Sowell,32
2062,Henry Hazlitt,2
2077,Selina Shirley Hastings,4
2079,Jeremy Blachman,2
2082,Elisabeth L.,1
2084,Bill W.,1
2088,Kimon Nicolaides,1
2092,John Morgenthaler,1
2093,Jonathan V. Wright,1
2095,Kevin Baker,7
2096,Thomas Mallon,17
2098,Elizabeth von Arnim,9
2104,Benjamin DeMott,1
2110,Chris Casson Madden,1
2116,Lionel Trilling,3
2117,P.N. Furbank,2
2119,Robert Hellenga,6
2121,Michael Pollan,14
2122,Sarah Vowell,4
2123,Phil Gordon,1
2124,Gordon S. Wood,10
2125,Mary Gordon,15
2129,Gordon Ramsay,6
2130,Gordon Korman,54
2131,Mem Fox,2
2135,Jack C. Richards,3
2136,John Yau,6
2137,Vicki Hearne,2
2139,Robert Gordon,2
2146,Deborah M. Gordon,1
2147,Ivo Andrić,4
2154,Christopher Smart,1
2155,Arthur Hugh Clough,1
2166,Anonymous,2
2169,William Wright,5
2191,Robert Wardy,1
2192,Aristotle,13
2210,Brendan Kennelly,2
2211,Kenneth McLeish,1
2224,Gavan Daws,3
2226,Alan Brennert,3
2228,Sharon Begley,1
2238,Isabel Allende,48
2240,Richard Woods,1
2243,Granville N. Toogood,1
2244,Harvard Business School Press,14
2269,Deborah Garrison,2
2270,David Means,2
2271,Strawberry Saroyan,1
2273,James Purdy,13
2274,Rem Koolhaas,1
2275,Jocko Weyland,1
2276,Charlie Smith,4
2278,Rick Moody,17
2279,Geoff Dyer,10
2282,Sam Lipsyte,4
2285,Jonathan Ames,9
2286,Alistair Cockburn,4
2297,Ann Parker,4
2298,Steve Krug,1
2313,Louis de Bernières,19
2318,Lawrence Otis Graham,4
2320,Rich Hall,1
2330,Tim O'Brien,22
2331,Mitch Albom,22
2341,Peter N. Stearns,6
2345,Nicholas Sparks,56
2347,Jeanne DuPrau,10
2348,John U. Bacon,1
2349,Jim Krause,6
2350,Gwyn Hyman Rubio,4
2353,Mary Daheim,41
2354,Lori Avocato,5
2355,Cait London,21
2356,Suzanne Macpherson,7
2357,Kerrelyn Sparks,7
2358,Dana Cameron,6
2359,Adrienne Sharp,3
2360,J. Patrick Lewis,6
2362,Marisha Pessl,6
2383,Gillian Flynn,3
2384,Janet Evanovich,88
2387,Jayne Ann Krentz,89
2394,Marjorie Weinman Sharmat,8
2401,Mark Schultz,2
2404,Zoë Sharp,7
2407,Kaho Miyasaka,9
2408,Ian McEwan,55
2409,Debra Jay,1
2411,Tony Evans,10
2412,Fulton J. Sheen,16
2413,George MacDonald,30
2415,Bill Bright,3
2418,Jane Moore,8
2420,Elena Garro,3
2423,Francine Pascal,160
2424,Harold Brodkey,7
2427,Amanda Clark,1
2428,Janelle Taylor,22
2433,Kathryn Makris,3
2434,Carnes Lord,1
2438,Antonio Gramsci,3
2446,Catherine M. Andronik,2
2448,Arthur Conan Doyle,125
2452,Tracy Mack,2
2454,Anthony Boucher,1
2462,Eric Tyson,6
2473,John Ventura,1
2474,Amine Bouchentouf,1
2476,Noam Chomsky,41
2482,Clare Naylor,7
2485,Stephen Arnott,2
2493,Lois Lowry,61
2494,Anzia Yezierska,2
2495,Bill Brittain,6
2496,David Jeremiah,15
2497,Jack Weatherford,6
2508,Claire Messud,10
2514,Suzanne Forster,16
2516,Mark Forster,4
2517,Gwynne Forster,12
2518,Rebecca Forster,5
2522,Zadie Smith,11
2524,Linda Wells,1
2525,Alex Kuczynski,1
2526,Libba Bray,16
2528,Cindy Pearlman,1
2530,Anna Sewell,3
2532,Norman Sherry,2
2533,Graham Greene,77
2539,Gloria Emerson,3
2540,Wei Wu Wei,1
2542,Chris Ryan,31
2543,Claire Squires,1
2546,Chuck Palahniuk,38
2550,Joyce Stranger,2
2553,Vance Packard,1
2559,Penelope Farmer,4
2560,Louise Fitzhugh,6
2561,Helen Ericson,2
2565,Ian Fleming,40
2566,Madeleine Brent,9
2571,Adolph Moser,1
2572,Rumer Godden,27
2577,Anne Chisholm,2
2578,Jonathan Franzen,17
2579,Lisa Whelchel,6
2591,Millicent Dillon,2
2592,Henri Blocher,3
2593,Rudolf Steiner,29
2594,Nina Bangs,11
2602,Eric A. Kimmel,19
2603,Fredson Bowers,1
2606,Bill Buford,9
2607,Mike Lupica,22
2608,Gerry Garvin,2
2609,Fern Michaels,92
2611,Eric Klinenberg,2
2612,Lorie O'Clare,7
2613,Jaci Burton,10
2614,Lora Leigh,38
2615,Sherri L. King,7
2616,Ruth Prawer Jhabvala,11
2617,Jonathan Safran Foer,14
2620,Mike Cohn,1
2622,Sarah Macdonald,3
2623,Joel Salatin,4
2630,Al Jaffee,2
2633,Nicole Krauss,7
2635,Thomas E. Woods Jr.,4
2636,Tom Standage,11
2637,Karen Armstrong,33
2645,Devin Alexander,2
2646,Rachael Ray,13
2648,Georgeanne Brennan,6
2650,Barbara Fairchild,2
2651,Sandra K. Nissenberg,1
2652,Abigail Johnson Dodge,3
2655,Beth Hensperger,8
2657,Martha Stewart,22
2662,Michele Scicolone,3
2663,Allen Rucker,1
2664,Arthur Agatston,10
2665,Diane Johnson,15
2669,Leonard Michaels,6
2672,Laura Dave,3
2673,Michael Teitelbaum,11
2678,Lois H. Gresh,4
2680,Mike Pondsmith,1
2685,Jesse Leon McCann,2
2686,Akira Toriyama,67
2687,Dan Simmons,57
2688,Dan Jurgens,4
2689,J. Michael Straczynski,8
2692,Peter Roop,4
2693,Richard Carlson,21
